Time,Totalcalls,ActiveCalls,RingingCalls
Tue Jul 19 01:09:35 EST 2022,0,0,0
Tue Jul 19 01:09:45 EST 2022,0,0,0
Tue Jul 19 01:09:55 EST 2022,0,0,0
Tue Jul 19 01:10:05 EST 2022,0,0,0
Tue Jul 19 01:10:15 EST 2022,0,0,0
Tue Jul 19 01:10:25 EST 2022,0,0,0
Tue Jul 19 01:10:35 EST 2022,0,0,0
Tue Jul 19 01:10:45 EST 2022,0,0,0
Tue Jul 19 01:10:55 EST 2022,0,0,0
Tue Jul 19 01:11:05 EST 2022,0,0,0
Tue Jul 19 01:11:15 EST 2022,0,0,0
Tue Jul 19 01:11:25 EST 2022,0,0,0
Tue Jul 19 01:11:35 EST 2022,0,0,0
Tue Jul 19 01:11:45 EST 2022,0,0,0
Tue Jul 19 01:11:55 EST 2022,0,0,0
Tue Jul 19 01:12:05 EST 2022,0,0,0
Tue Jul 19 01:12:15 EST 2022,0,0,0
Tue Jul 19 01:12:25 EST 2022,0,0,0
Tue Jul 19 01:12:35 EST 2022,0,0,0
Tue Jul 19 01:12:45 EST 2022,0,0,0
Tue Jul 19 01:12:55 EST 2022,0,0,0
Tue Jul 19 01:13:05 EST 2022,0,0,0
Tue Jul 19 01:13:15 EST 2022,0,0,0
Tue Jul 19 01:13:25 EST 2022,0,0,0
Tue Jul 19 01:13:35 EST 2022,0,0,0
Tue Jul 19 01:13:45 EST 2022,0,0,0
Tue Jul 19 01:13:55 EST 2022,0,0,0
Tue Jul 19 01:14:05 EST 2022,0,0,0
Tue Jul 19 01:14:15 EST 2022,0,0,0
Tue Jul 19 01:14:25 EST 2022,0,0,0
Tue Jul 19 01:14:35 EST 2022,0,0,0
Tue Jul 19 01:14:45 EST 2022,0,0,0
Tue Jul 19 01:14:55 EST 2022,0,0,0
Tue Jul 19 01:15:05 EST 2022,0,0,0
Tue Jul 19 01:15:15 EST 2022,0,0,0
Tue Jul 19 01:15:25 EST 2022,0,0,0
Tue Jul 19 01:15:35 EST 2022,0,0,0
Tue Jul 19 01:15:45 EST 2022,0,0,0
Tue Jul 19 01:15:55 EST 2022,0,0,0
Tue Jul 19 01:16:05 EST 2022,0,0,0
